[2026-03-31 20:50:08] AEGIS SCAN -> Connexions Actives : 19 | Charge CPU : 0.39
[2026-03-31 20:55:08] AEGIS SCAN -> Connexions Actives : 7 | Charge CPU : 0.14
[2026-03-31 21:00:08] AEGIS SCAN -> Connexions Actives : 9 | Charge CPU : 0.01
[2026-03-31 21:05:08] AEGIS SCAN -> Connexions Actives : 7 | Charge CPU : 0.00
[2026-03-31 21:10:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.15
[2026-03-31 21:15:08] AEGIS SCAN -> Connexions Actives : 6 | Charge CPU : 0.00
[2026-03-31 21:20:08] AEGIS SCAN -> Connexions Actives : 7 | Charge CPU : 0.03
[2026-03-31 21:25:08] AEGIS SCAN -> Connexions Actives : 6 | Charge CPU : 0.00
[2026-03-31 21:30:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-03-31 21:35:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-03-31 21:40:08] AEGIS SCAN -> Connexions Actives : 6 | Charge CPU : 0.00
[2026-03-31 21:45:08] AEGIS SCAN -> Connexions Actives : 6 | Charge CPU : 0.03
[2026-03-31 21:50:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-03-31 21:55:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-03-31 22:00:08] AEGIS SCAN -> Connexions Actives : 7 | Charge CPU : 0.00
[2026-03-31 22:05:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.01
[2026-03-31 22:10:08] AEGIS SCAN -> Connexions Actives : 6 | Charge CPU : 0.00
[2026-03-31 22:15:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-03-31 22:20:08] AEGIS SCAN -> Connexions Actives : 6 | Charge CPU : 0.00
[2026-03-31 22:25:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-03-31 22:30:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-03-31 22:35:08] AEGIS SCAN -> Connexions Actives : 6 | Charge CPU : 0.27
[2026-03-31 22:40:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.06
[2026-03-31 22:45:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.01
[2026-03-31 22:50:08] AEGIS SCAN -> Connexions Actives : 7 | Charge CPU : 0.04
[2026-03-31 22:55:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-03-31 23:00:08] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.22
